Membership No  Date Joined  Active  
    42183      2017-3-19    yes   
    52777      2015-9-15    yes   
    36244      2017-2-17    yes   
    70202      2017-7-20    yes   
    59536      2016-5-18    yes   
    81970      2020-8-11    yes   
    12010      2019-8-22    yes   
    88569      2016-6-20    yes   
    18841      2020-1-14    yes   
    93283      2020-8-3     yes   
    92561      2020-8-12    yes   
    27176      2016-5-15    yes   
    67052      2015-11-24   yes   
