Membership No  Date Joined  Active  
    91421      2020-7-9     no    
    62755      2017-11-4    yes   
    29933      2018-11-11   yes   
    23374      2019-7-19    yes   
    56872      2016-5-21    no    
    64675      2020-6-8     yes   
    48568      2016-4-11    yes   
    28448      2020-8-9     no    
    51751      2015-1-13    no    
    42060      2018-12-23   no    
    97875      2020-4-10    yes   
    40696      2018-10-2    no    
    38299      2017-9-5     no    
    13939      2016-3-18    no    
    75943      2019-7-16    no    
    36345      2018-1-21    no    
    54879      2017-3-8     no    
    25952      2017-9-11    no    
    33721      2017-1-10    no    
    71842      2019-1-15    yes   
